,,Wall time,Step,Value,lr,batch_size,loss
,0,1721078498,1,0.07788464427,1.00E-06,8,2.492308617
,1,1721083105,2,0.07453542203,1.00E-06,8,2.385133505
,2,1721086219,3,0.07310260087,1.00E-06,8,2.339283228
,3,1721088575,4,0.07214164734,1.00E-06,8,2.308532715
,4,1721090930,5,0.07138249278,1.00E-06,8,2.284239769
,5,1721093286,6,0.0708334744,1.00E-06,8,2.266671181
,6,1721095644,7,0.07034692168,1.00E-06,8,2.251101494
,7,1721097998,8,0.06996114552,1.00E-06,8,2.238756657
,8,1721100357,9,0.06959516555,1.00E-06,8,2.227045298
,9,1721102715,10,0.06925560534,1.00E-06,8,2.216179371
,0,1720911717,1,0.06179811805,0.0001,32,1.977539778
,1,1720917076,2,0.06066012383,0.0001,32,1.941123962
,2,1720922422,3,0.05989011005,0.0001,32,1.916483521
,3,1720927785,4,0.05990407616,0.0001,32,1.916930437
,4,1720933149,5,0.05902332813,0.0001,32,1.8887465
,5,1720938510,6,0.05857114494,0.0001,32,1.874276638
,6,1720943867,7,0.05859220028,0.0001,32,1.874950409
,7,1720949240,8,0.05867695436,0.0001,32,1.877662539
,8,1720954610,9,0.0580705218,0.0001,32,1.858256698
,9,1720959981,10,0.05801418424,0.0001,32,1.856453896
,0,1720981919,1,0.07095342129,1.00E-05,16,2.270509481
,1,1720987820,2,0.06722457707,1.00E-05,16,2.151186466
,2,1720993720,3,0.0655014962,1.00E-05,16,2.096047878
,3,1720999608,4,0.06623051316,1.00E-05,16,2.119376421
,4,1721005511,5,0.06568367779,1.00E-05,16,2.101877689
,5,1721011412,6,0.06649324298,1.00E-05,16,2.127783775
,6,1721017315,7,0.06619520485,1.00E-05,16,2.118246555
,7,1721023218,8,0.06596283615,1.00E-05,16,2.110810757
,8,1721029129,9,0.0662426278,1.00E-05,16,2.11976409
,9,1721035030,10,0.06577719003,1.00E-05,16,2.104870081
,0,1720804873,1,0.06746447831,0.000363,16,2.158863306
,1,1720810779,2,0.06594965607,0.000363,16,2.110388994
,2,1720816683,3,0.06525660306,0.000363,16,2.088211298
,3,1720822589,4,0.06547802687,0.000363,16,2.09529686
,4,1720828496,5,0.06523638964,0.000363,16,2.087564468
,5,1720834399,6,0.06512330472,0.000363,16,2.083945751
,6,1720840301,7,0.06506144255,0.000363,16,2.081966162
,7,1720846203,8,0.06603301316,0.000363,16,2.113056421
,8,1720852108,9,0.06669960916,0.000363,16,2.134387493
,9,1720858015,10,0.06575760245,0.000363,16,2.104243279
,0,1720857404,1,0.05909876153,0.001,32,1.891160369
,1,1720862774,2,0.05589862168,0.001,32,1.788755894
,2,1720868143,3,0.0550323464,0.001,32,1.761035085
,3,1720873510,4,0.05443559214,0.001,32,1.741938949
,4,1720878882,5,0.05400018394,0.001,32,1.728005886
,5,1720884252,6,0.05350998044,0.001,32,1.712319374
,6,1720889621,7,0.05308720469,0.001,32,1.69879055
,7,1720894977,8,0.0526268743,0.001,32,1.684059978
,8,1720900344,9,0.05233938247,0.001,32,1.674860239
,9,1720905710,10,0.05198278278,0.001,32,1.663449049
,0,1720804356,1,0.06183991209,0.000363,32,1.978877187
,1,1720809733,2,0.06109200418,0.000363,32,1.954944134
,2,1720815106,3,0.06066619605,0.000363,32,1.941318274
,3,1720820480,4,0.05941939354,0.000363,32,1.901420593
,4,1720825841,5,0.06149369478,0.000363,32,1.967798233
,5,1720831212,6,0.05933112279,0.000363,32,1.898595929
,6,1720836584,7,0.05979904905,0.000363,32,1.91356957
,7,1720841954,8,0.0600868538,0.000363,32,1.922779322
,8,1720847323,9,0.06174170598,0.000363,32,1.975734591
,9,1720852686,10,0.06178383529,0.000363,32,1.977082729
,0,1720922916,1,0.06126095355,0.0001,16,1.960350513
,1,1720928814,2,0.060518004,0.0001,16,1.936576128
,2,1720934709,3,0.05927470326,0.0001,16,1.896790504
,3,1720940604,4,0.05919308215,0.0001,16,1.894178629
,4,1720946511,5,0.05891076848,0.0001,16,1.885144591
,5,1720952413,6,0.05866586044,0.0001,16,1.877307534
,6,1720958307,7,0.05825093761,0.0001,16,1.864030004
,7,1720964209,8,0.05885630473,0.0001,16,1.883401752
,8,1720970111,9,0.05859612301,0.0001,16,1.875075936
,9,1720976017,10,0.05902112648,0.0001,16,1.888676047
,0,1720802574,1,0.06225572154,0.000363,64,1.992183089
,1,1720804242,2,0.06103456765,0.000363,64,1.953106165
,2,1720805912,3,0.06379023194,0.000363,64,2.041287422
,3,1720807580,4,0.06105425209,0.000363,64,1.953736067
,4,1720809249,5,0.0589549616,0.000363,64,1.886558771
,5,1720810917,6,0.06141961738,0.000363,64,1.965427756
,6,1720812587,7,0.06262282282,0.000363,64,2.00393033
,7,1720814257,8,0.0604977496,0.000363,64,1.935927987
,8,1720815926,9,0.06338307261,0.000363,64,2.028258324
,9,1720817595,10,0.06426309794,0.000363,64,2.056419134
,0,1720875460,1,0.06252781302,0.001,8,2.000890017
,1,1720882415,2,0.09341926128,0.001,8,2.989416361
,2,1720889358,3,0.1879955232,0.001,8,6.015856743
,3,1720896306,4,0.1434310675,0.001,8,4.589794159
,4,1720903256,5,0.1723192781,0.001,8,5.5142169
,5,1720910209,6,0.2221938223,0.001,8,7.110202312
,6,1720917170,7,0.4296297729,0.001,8,13.74815273
,7,1720924130,8,0.2532984316,0.001,8,8.105549812
,8,1720931084,9,0.1814386994,0.001,8,5.80603838
,9,1720938040,10,0.2787699997,0.001,8,8.920639992
,0,1720944998,1,0.06061399728,0.0001,8,1.939647913
,1,1720951957,2,0.06051050872,0.0001,8,1.936336279
,2,1720958915,3,0.05907895043,0.0001,8,1.890526414
,3,1720965866,4,0.0587821044,0.0001,8,1.881027341
,4,1720972822,5,0.05854867399,0.0001,8,1.873557568
,5,1720979779,6,0.05844248459,0.0001,8,1.870159507
,6,1720986743,7,0.05803338811,0.0001,8,1.857068419
,7,1720993704,8,0.05837408453,0.0001,8,1.867970705
,8,1721000661,9,0.05859911069,0.0001,8,1.875171542
,9,1721007620,10,0.05893868953,0.0001,8,1.886038065
,0,1721040928,1,0.08236866444,1.00E-06,16,2.635797262
,1,1721046833,2,0.07691378891,1.00E-06,16,2.461241245
,2,1721052736,3,0.07484754175,1.00E-06,16,2.395121336
,3,1721058637,4,0.07368765771,1.00E-06,16,2.358005047
,4,1721064542,5,0.07282850891,1.00E-06,16,2.330512285
,5,1721069341,6,0.07217283547,1.00E-06,16,2.309530735
,6,1721073148,7,0.07163223624,1.00E-06,16,2.29223156
,7,1721076975,8,0.07119838893,1.00E-06,16,2.278348446
,8,1721080816,9,0.07080059499,1.00E-06,16,2.26561904
,9,1721084654,10,0.07046868652,1.00E-06,16,2.254997969
,0,1721105966,1,0.06851758063,0.000363,4,2.19256258
,1,1721109236,2,0.06831628829,0.000363,4,2.186121225
,2,1721112514,3,0.06624170393,0.000363,4,2.119734526
,3,1721115802,4,0.06506994367,0.000363,4,2.082238197
,4,1721119149,5,0.06384402514,0.000363,4,2.043008804
,5,1721122433,6,0.06408665329,0.000363,4,2.050772905
,6,1721125787,7,0.06337030232,0.000363,4,2.027849674
,7,1721130780,8,0.07311908901,0.000363,4,2.339810848
,0,1721261996,1,0.4026659727,0.001,4,12.88531113
,1,1721268244,2,0.4860072732,0.001,4,15.55223274
,2,1721274502,3,1.951529264,0.001,4,62.44893646
,3,1721280758,4,1.154799223,0.001,4,36.95357513
,4,1721287025,5,0.922452569,0.001,4,29.51848221
,5,1721293568,6,1.072691441,0.001,4,34.3261261
,6,1721298744,7,3.8498106,0.001,4,123.1939392
,7,1721301993,8,1.401489258,0.001,4,44.84765625
,8,1721305275,9,1.552250743,0.001,4,49.67202377
,9,1721308541,10,1.283542275,0.001,4,41.07335281
,10,1721312181,11,1.004216313,0.001,4,32.13492203
,11,1721316100,12,1.066587925,0.001,4,34.1308136
,12,1721322431,13,0.7704896331,0.001,4,24.65566826
,13,1721328765,14,0.8559512496,0.001,4,27.39043999
,14,1721335100,15,1.876056552,0.001,4,60.03380966
,15,1721341431,16,0.8187478781,0.001,4,26.1999321
,16,1721347813,17,0.6674185991,0.001,4,21.35739517
,17,1721354143,18,0.5097491741,0.001,4,16.31197357
,18,1721360515,19,0.5607161522,0.001,4,17.94291687
,19,1721366826,20,1.023928881,0.001,4,32.76572418
,0,1721373127,1,0.06598611176,0.0001,4,2.111555576
,1,1721379420,2,0.06509803981,0.0001,4,2.083137274
,2,1721386634,3,0.06481809914,0.0001,4,2.074179173
,3,1721392957,4,0.06505484879,0.0001,4,2.081755161
,4,1721399291,5,0.06614481658,0.0001,4,2.11663413
,5,1721405633,6,0.06515565515,0.0001,4,2.084980965
,6,1721411993,7,0.06562458724,0.0001,4,2.099986792
,7,1721418339,8,0.06721255183,0.0001,4,2.150801659
,8,1721424693,9,0.06572555751,0.0001,4,2.10321784
,9,1721431047,10,0.0671569258,0.0001,4,2.149021626
,10,1721437400,11,0.06723152101,0.0001,4,2.151408672
,11,1721443750,12,0.06790860742,0.0001,4,2.173075438
,12,1721450103,13,0.06882338226,0.0001,4,2.202348232
,13,1721456455,14,0.06944271177,0.0001,4,2.222166777
,14,1721462802,15,0.06991963834,0.0001,4,2.237428427
,15,1721469150,16,0.07111573964,0.0001,4,2.275703669
,16,1721475484,17,0.07291202247,0.0001,4,2.333184719
,17,1721478883,18,0.07330204546,0.0001,4,2.345665455
,18,1721482186,19,0.07288324088,0.0001,4,2.332263708
,19,1721485485,20,0.07377925515,0.0001,4,2.360936165
,0,1721014577,1,0.06961946934,1.00E-05,8,2.227823019
,1,1721021531,2,0.06572964042,1.00E-05,8,2.103348494
,2,1721028489,3,0.06645221263,1.00E-05,8,2.126470804
,3,1721035449,4,0.0670414865,1.00E-05,8,2.145327568
,4,1721042419,5,0.06608210504,1.00E-05,8,2.114627361
,5,1721049377,6,0.06666328013,1.00E-05,8,2.133224964
,6,1721056346,7,0.06714699417,1.00E-05,8,2.148703814
,7,1721063306,8,0.06700976193,1.00E-05,8,2.144312382
,8,1721069267,9,0.06710428745,1.00E-05,8,2.147337198
,9,1721073886,10,0.06693390012,1.00E-05,8,2.141884804
,0,1721136570,1,0.06724283844,0.000363,4,2.15177083
,1,1721141846,2,0.0667488277,0.000363,4,2.135962486
,2,1721148123,3,0.06632908434,0.000363,4,2.122530699
,3,1721154401,4,0.06452852488,0.000363,4,2.064912796
,4,1721160683,5,0.06462112814,0.000363,4,2.067876101
,5,1721166952,6,0.06520582736,0.000363,4,2.086586475
,6,1721173231,7,0.06366179883,0.000363,4,2.037177563
,7,1721179508,8,0.0646873787,0.000363,4,2.069996119
,8,1721185789,9,0.06437919289,0.000363,4,2.060134172
,9,1721192072,10,0.06499864161,0.000363,4,2.079956532
,10,1721198370,11,0.06472917646,0.000363,4,2.071333647
,11,1721204651,12,0.06491060555,0.000363,4,2.077139378
,12,1721210941,13,0.06528106332,0.000363,4,2.088994026
,13,1721217241,14,0.06414759159,0.000363,4,2.052722931
,14,1721223550,15,0.06511814147,0.000363,4,2.083780527
,15,1721230560,16,0.06588547677,0.000363,4,2.108335257
,16,1721236861,17,0.06658767164,0.000363,4,2.130805492
,17,1721243156,18,0.06766398251,0.000363,4,2.16524744
,18,1721249454,19,0.0673673898,0.000363,4,2.155756474
,19,1721255750,20,0.06803269684,0.000363,4,2.177046299
,0,1720965343,1,0.07285384089,1.00E-05,32,2.331322908
,1,1720970709,2,0.07009122521,1.00E-05,32,2.242919207
,2,1720976078,3,0.06704352796,1.00E-05,32,2.145392895
,3,1720981443,4,0.06612318009,1.00E-05,32,2.115941763
,4,1720986815,5,0.06607122719,1.00E-05,32,2.11427927
,5,1720992174,6,0.06579946727,1.00E-05,32,2.105582952
,6,1720997544,7,0.06626544893,1.00E-05,32,2.120494366
,7,1721002916,8,0.06623211503,1.00E-05,32,2.119427681
,8,1721008279,9,0.06606458873,1.00E-05,32,2.114066839
,9,1721013636,10,0.06639430672,1.00E-05,32,2.124617815
,0,1720852631,1,0.07566770911,1.00E-05,64,2.421366692
,1,1720854298,2,0.07232115418,1.00E-05,64,2.314276934
,2,1720855963,3,0.07049502432,1.00E-05,64,2.255840778
,3,1720857629,4,0.06919917464,1.00E-05,64,2.214373589
,4,1720859294,5,0.06675272435,1.00E-05,64,2.136087179
,5,1720860960,6,0.06654236466,1.00E-05,64,2.129355669
,6,1720862626,7,0.0665673241,1.00E-05,64,2.130154371
,7,1720864293,8,0.06627928466,1.00E-05,64,2.120937109
,8,1720865959,9,0.06652271748,1.00E-05,64,2.128726959
,9,1720867627,10,0.06687418371,1.00E-05,64,2.139973879
,0,1721019014,1,0.08966869116,1.00E-06,32,2.869398117
,1,1721024377,2,0.08152087033,1.00E-06,32,2.60866785
,2,1721029741,3,0.07803401351,1.00E-06,32,2.497088432
,3,1721035099,4,0.07614991069,1.00E-06,32,2.436797142
,4,1721040454,5,0.07494056225,1.00E-06,32,2.398097992
,5,1721045819,6,0.07408896834,1.00E-06,32,2.370846987
,6,1721051185,7,0.07341149449,1.00E-06,32,2.349167824
,7,1721056551,8,0.07285939902,1.00E-06,32,2.331500769
,8,1721061911,9,0.07237640768,1.00E-06,32,2.316045046
,9,1721067280,10,0.07195582986,1.00E-06,32,2.302586555
,0,1720863920,1,0.06539216638,0.001,16,2.092549324
,1,1720869818,2,0.06664455682,0.001,16,2.132625818
,2,1720875725,3,0.065871723,0.001,16,2.107895136
,3,1720881616,4,0.06608254462,0.001,16,2.114641428
,4,1720887520,5,0.06580532342,0.001,16,2.10577035
,5,1720893426,6,0.06355182081,0.001,16,2.033658266
,6,1720899330,7,0.06417348236,0.001,16,2.053551435
,7,1720905232,8,0.06385587156,0.001,16,2.04338789
,8,1720911127,9,0.0652500093,0.001,16,2.088000298
,9,1720917031,10,0.06492526829,0.001,16,2.077608585
,0,1720869298,1,0.102817297,1.00E-06,64,3.290153503
,1,1720870965,2,0.08907686919,1.00E-06,64,2.850459814
,2,1720872631,3,0.083976008,1.00E-06,64,2.687232256
,3,1720874297,4,0.08098269999,1.00E-06,64,2.5914464
,4,1720875964,5,0.07892734557,1.00E-06,64,2.525675058
,5,1720877630,6,0.07748036087,1.00E-06,64,2.479371548
,6,1720879297,7,0.0763958469,1.00E-06,64,2.444667101
,7,1720880963,8,0.07557314634,1.00E-06,64,2.418340683
,8,1720882628,9,0.07489385456,1.00E-06,64,2.396603346
,9,1720884295,10,0.07432982326,1.00E-06,64,2.378554344
,0,1720819263,1,0.06692139804,0.001,64,2.141484737
,1,1720820931,2,0.06655623019,0.001,64,2.129799366
,2,1720822601,3,0.06470996141,0.001,64,2.070718765
,3,1720824270,4,0.06472030282,0.001,64,2.07104969
,4,1720825937,5,0.06227963045,0.001,64,1.992948174
,5,1720827606,6,0.06535869092,0.001,64,2.091478109
,6,1720829276,7,0.06600286067,0.001,64,2.112091541
,7,1720830945,8,0.06648509204,0.001,64,2.127522945
,8,1720832614,9,0.06716765463,0.001,64,2.149364948
,9,1720834281,10,0.06658358127,0.001,64,2.130674601
,0,1720835951,1,0.06315969676,0.0001,64,2.021110296
,1,1720837621,2,0.06169844791,0.0001,64,1.974350333
,2,1720839289,3,0.06068680435,0.0001,64,1.941977739
,3,1720840957,4,0.06044685468,0.0001,64,1.93429935
,4,1720842623,5,0.05975691229,0.0001,64,1.912221193
,5,1720844290,6,0.06096505746,0.0001,64,1.950881839
,6,1720845958,7,0.06037730724,0.0001,64,1.932073832
,7,1720847627,8,0.05893390253,0.0001,64,1.885884881
,8,1720849295,9,0.06000557169,0.0001,64,1.920178294
,9,1720850962,10,0.0589585267,0.0001,64,1.886672854
,0,1720805855,1,0.06130830944,0.000363,8,1.961865902
,1,1720812813,2,0.05944756418,0.000363,8,1.902322054
,2,1720819778,3,0.05875851586,0.000363,8,1.880272508
,3,1720826734,4,0.05913084373,0.000363,8,1.892186999
,4,1720833695,5,0.05826642364,0.000363,8,1.864525557
,5,1720840661,6,0.05895121023,0.000363,8,1.886438727
,6,1720847622,7,0.05819602683,0.000363,8,1.862272859
,7,1720854579,8,0.0588584207,0.000363,8,1.883469462
,8,1720861537,9,0.05879891291,0.000363,8,1.881565213
,9,1720868498,10,0.05942958966,0.000363,8,1.901746869
,0,1720858051,1,0.06729390472,0.001,32,2.153404951
,1,1720863420,2,0.06641117483,0.001,32,2.125157595
,2,1720868792,3,0.06172226742,0.001,32,1.975112557
,3,1720874153,4,0.06473506987,0.001,32,2.071522236
,4,1720879525,5,0.0648586303,0.001,32,2.07547617
,5,1720884896,6,0.06575340778,0.001,32,2.104109049
,6,1720890264,7,0.06343093514,0.001,32,2.029789925
,7,1720895620,8,0.06551068276,0.001,32,2.096341848
,8,1720900987,9,0.06600493938,0.001,32,2.11215806
,9,1720906353,10,0.06605963409,0.001,32,2.113908291